id,uses81,distance,time,fuelUsed,latFrom,lngFrom,latTo,lngTo
"36279db6-ce92-49d2-b23d-2a385c290759","0",5.077,494,0.24,43.102867,-76.206364,43.047066,-76.153996"
"36279db6-ce92-49d2-b23d-2a385c290759","1",5.077,494,0.24,43.102867,-76.206364,43.047066,-76.153996"
"36279db6-ce92-49d2-b23d-2a385c290759","0",1.904,356,0.13,43.030269,-76.169576,43.047066,-76.153996"
"36279db6-ce92-49d2-b23d-2a385c290759","1",1.904,356,0.13,43.030269,-76.169576,43.047066,-76.153996"
"1d8913a5-a042-438b-b3ca-f43da67a51c0","0",12.499,979,0.64,42.991901,-76.071899,43.070965,-76.170334"
"1d8913a5-a042-438b-b3ca-f43da67a51c0","1",10.692,897,0.58,42.991901,-76.071899,43.070965,-76.170334"
"1f73cb8c-41c0-4da5-a2f9-3aa58855ac9e","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"1f73cb8c-41c0-4da5-a2f9-3aa58855ac9e","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","1",235.787,13642,11.15,40.877182,-73.900426,42.798129,-76.109517"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","0",235.787,13642,11.15,40.877182,-73.900426,42.798129,-76.109517"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","1",20.019,1271,0.98,43.049301,-76.155523,42.798129,-76.109517"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","0",18.969,1381,0.99,43.049301,-76.155523,42.798129,-76.109517"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","1",19.403,1335,0.99,43.048782,-76.12766,42.798129,-76.109517"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","0",20.071,1580,1.08,43.048782,-76.12766,42.798129,-76.109517"
"94c7cb9e-60e3-470b-8e9d-60599f50de38","1",6.809,637,0.33,43.048782,-76.12766,43.097152,-76.204084"
